kernel,status,clang,opt,bugle,vcgen,cruncher,boogiedriver,total
/datadrive/gpuverify-tests/CUDA/atomics/pointer_add/kernel.cu,PASS,0.135,0.009,0.006,0.415,0.582,0.579,1.725
/datadrive/gpuverify-tests/CUDA/atomics/add_zero/kernel.cu,FAIL(6),0.134,0.010,0.005,0.460,0.581,0.622,1.813
/datadrive/gpuverify-tests/CUDA/atomics/test_abstraction_enforced/kernel.cu,FAIL(6),0.134,0.009,0.009,0.458,0.585,0.696,1.892
/datadrive/gpuverify-tests/CUDA/basic1/kernel.cu,PASS,0.140,0.009,0.006,0.376,0.497,0.496,1.524
/datadrive/gpuverify-tests/CUDA/casttofloat/kernel.cu,PASS,0.142,0.013,0.004,0.346,0.576,0.469,1.549
/datadrive/gpuverify-tests/CUDA/basicbarrier/kernel.cu,PASS,0.151,0.010,0.007,0.389,0.579,0.508,1.644
/datadrive/gpuverify-tests/CUDA/basicglobalarray/kernel.cu,PASS,0.145,0.009,0.006,0.416,0.536,0.539,1.651
/datadrive/gpuverify-tests/CUDA/cuda_arch/kernel.cu,PASS,0.142,0.009,0.005,0.335,0.501,0.523,1.515
/datadrive/gpuverify-tests/CUDA/curand_tests/pass/curand/kernel.cu,PASS,0.139,0.014,0.005,0.456,0.578,0.545,1.738
/datadrive/gpuverify-tests/CUDA/curand_tests/fail/curand_race/kernel.cu,FAIL(6),0.137,0.009,0.005,0.415,0.580,0.666,1.812
/datadrive/gpuverify-tests/CUDA/fail_tests/race_on_shared/kernel.cu,FAIL(6),0.134,0.009,0.005,0.422,0.578,0.658,1.806
/datadrive/gpuverify-tests/CUDA/curand_tests/fail/curand_mtgp32_race/kernel.cu,FAIL(6),0.136,0.009,0.005,0.496,0.578,0.662,1.886
/datadrive/gpuverify-tests/CUDA/fail_tests/shared_int/kernel.cu,FAIL(6),0.136,0.012,0.006,0.425,0.539,0.697,1.815
/datadrive/gpuverify-tests/CUDA/floatcastrequired/kernel.cu,PASS,0.135,0.009,0.006,0.415,0.580,0.500,1.644
/datadrive/gpuverify-tests/CUDA/curand_tests/fail/curand_mtgp32_block_race/kernel.cu,FAIL(6),0.134,0.008,0.005,0.496,0.575,0.699,1.918
/datadrive/gpuverify-tests/CUDA/curand_tests/pass/curand_mtgp32/kernel.cu,PASS,0.174,0.009,0.008,0.498,0.595,0.593,1.878
/datadrive/gpuverify-tests/CUDA/curand_tests/fail/init_race/kernel.cu,FAIL(6),0.138,0.016,0.005,0.455,0.616,0.662,1.893
/datadrive/gpuverify-tests/CUDA/ctimeslid/kernel.cu,PASS,0.137,0.015,0.005,0.539,0.745,0.581,2.023
/datadrive/gpuverify-tests/CUDA/ctimesgid/kernel.cu,PASS,0.156,0.014,0.009,0.547,0.987,0.909,2.622
/datadrive/gpuverify-tests/CUDA/floatrelationalop/kernel.cu,PASS,0.134,0.009,0.005,0.415,0.496,0.460,1.519
/datadrive/gpuverify-tests/CUDA/fresh_arrays/fail/array/kernel.cu,FAIL(6),0.146,0.018,0.006,0.415,0.536,0.630,1.751
/datadrive/gpuverify-tests/CUDA/fresh_arrays/fail/inherit/kernel.cu,FAIL(6),0.134,0.009,0.007,0.427,0.540,0.657,1.774
/datadrive/gpuverify-tests/CUDA/fresh_arrays/fail/struct_char/kernel.cu,FAIL(6),0.136,0.009,0.005,0.466,0.577,0.667,1.860
/datadrive/gpuverify-tests/CUDA/fresh_arrays/fail/struct_float/kernel.cu,FAIL(6),0.139,0.018,0.018,0.465,0.659,0.661,1.960
/datadrive/gpuverify-tests/CUDA/fresh_arrays/pass/array/kernel.cu,PASS,0.143,0.011,0.005,0.415,0.538,0.538,1.650
/datadrive/gpuverify-tests/CUDA/fresh_arrays/pass/inherit/kernel.cu,PASS,0.135,0.009,0.006,0.415,0.540,0.542,1.647
/datadrive/gpuverify-tests/CUDA/fresh_arrays/pass/struct_char/kernel.cu,PASS,0.134,0.009,0.006,0.455,0.540,0.502,1.646
/datadrive/gpuverify-tests/CUDA/fresh_arrays/fail/struct_nested/kernel.cu,FAIL(6),0.134,0.009,0.006,0.417,0.540,0.702,1.808
/datadrive/gpuverify-tests/CUDA/fresh_arrays/pass/struct_float/kernel.cu,PASS,0.139,0.009,0.006,0.416,0.656,0.537,1.762
/datadrive/gpuverify-tests/CUDA/function_pointers/unknown_function/kernel.cu,FAIL(4),0.134,0.011,0.015,0.000,0.000,0.000,0.160
/datadrive/gpuverify-tests/CUDA/function_pointers/basic_argument_pass/kernel.cu,PASS,0.140,0.010,0.006,0.496,0.899,0.536,2.086
/datadrive/gpuverify-tests/CUDA/function_pointers/basic_assignment_fail/kernel.cu,FAIL(6),0.136,0.009,0.006,0.536,0.821,0.658,2.166
/datadrive/gpuverify-tests/CUDA/function_pointers/basic_assignment_pass/kernel.cu,PASS,0.137,0.009,0.009,0.536,0.861,0.624,2.176
/datadrive/gpuverify-tests/CUDA/function_pointers/basic_argument_fail/kernel.cu,FAIL(6),0.135,0.009,0.009,0.495,0.897,0.699,2.244
