kernel,status,clang,opt,bugle,instrumentation,vcgen,cruncher,repair,total
/datadrive/gpurepair/Toolchain/testsuite/CUDA/cuda_arch/kernel.cu,PASS,0.145,0.011,0.006,0.255,0.375,0.500,0.578,1.869
/datadrive/gpurepair/Toolchain/testsuite/CUDA/basicglobalarray/kernel.cu,PASS,0.138,0.010,0.005,0.299,0.455,0.541,0.658,2.107
/datadrive/gpurepair/Toolchain/testsuite/CUDA/ctimeslid/kernel.cu,PASS,0.137,0.015,0.005,0.303,0.576,0.736,0.740,2.513
/datadrive/gpurepair/Toolchain/testsuite/CUDA/curand_tests/pass/curand/kernel.cu,PASS,0.139,0.020,0.006,0.295,0.496,0.618,0.702,2.277
/datadrive/gpurepair/Toolchain/testsuite/CUDA/fail_tests/race_on_shared/kernel.cu,FAIL(202),0.137,0.009,0.006,0.297,0.461,0.584,0.737,2.230
/datadrive/gpurepair/Toolchain/testsuite/CUDA/curand_tests/pass/curand_mtgp32/kernel.cu,PASS,0.139,0.009,0.005,0.295,0.496,0.623,0.738,2.306
/datadrive/gpurepair/Toolchain/testsuite/CUDA/ctimesgid/kernel.cu,PASS,0.137,0.009,0.006,0.296,0.579,1.023,0.710,2.759
/datadrive/gpurepair/Toolchain/testsuite/CUDA/floatcastrequired/kernel.cu,PASS,0.136,0.009,0.005,0.255,0.425,0.538,0.617,1.984
/datadrive/gpurepair/Toolchain/testsuite/CUDA/fail_tests/shared_int/kernel.cu,FAIL(202),0.109,0.011,0.006,0.295,0.456,0.539,0.708,2.124
/datadrive/gpurepair/Toolchain/testsuite/CUDA/curand_tests/fail/curand_mtgp32_block_race/kernel.cu,FAIL(202),0.136,0.016,0.009,0.336,0.538,0.626,1.462,3.123
/datadrive/gpurepair/Toolchain/testsuite/CUDA/floatrelationalop/kernel.cu,PASS,0.139,0.009,0.005,0.303,0.418,0.548,0.576,1.997
/datadrive/gpurepair/Toolchain/testsuite/CUDA/curand_tests/fail/curand_race/kernel.cu,FAIL(202),0.137,0.009,0.005,0.295,0.499,0.622,2.302,3.869
/datadrive/gpurepair/Toolchain/testsuite/CUDA/fresh_arrays/fail/array/kernel.cu,FAIL(202),0.136,0.010,0.006,0.295,0.463,0.583,0.739,2.232
/datadrive/gpurepair/Toolchain/testsuite/CUDA/curand_tests/fail/curand_mtgp32_race/kernel.cu,FAIL(202),0.103,0.009,0.006,0.295,0.495,0.586,2.483,3.976
/datadrive/gpurepair/Toolchain/testsuite/CUDA/fresh_arrays/fail/struct_char/kernel.cu,FAIL(202),0.139,0.010,0.011,0.295,0.506,0.579,0.737,2.277
/datadrive/gpurepair/Toolchain/testsuite/CUDA/fresh_arrays/fail/inherit/kernel.cu,FAIL(202),0.145,0.009,0.005,0.295,0.497,0.580,0.780,2.310
/datadrive/gpurepair/Toolchain/testsuite/CUDA/fresh_arrays/fail/struct_float/kernel.cu,FAIL(202),0.139,0.009,0.012,0.313,0.526,0.592,0.739,2.330
/datadrive/gpurepair/Toolchain/testsuite/CUDA/fresh_arrays/pass/array/kernel.cu,PASS,0.145,0.017,0.006,0.306,0.456,0.576,0.665,2.170
/datadrive/gpurepair/Toolchain/testsuite/CUDA/fresh_arrays/fail/struct_nested/kernel.cu,FAIL(202),0.138,0.025,0.018,0.299,0.503,0.576,0.738,2.297
/datadrive/gpurepair/Toolchain/testsuite/CUDA/fresh_arrays/pass/inherit/kernel.cu,PASS,0.137,0.015,0.006,0.342,0.496,0.582,0.701,2.279
/datadrive/gpurepair/Toolchain/testsuite/CUDA/fresh_arrays/pass/struct_float/kernel.cu,PASS,0.140,0.010,0.007,0.296,0.496,0.582,0.737,2.268
